HerdID,Date,Year,Latitude,Longitude,Group Size
MXHERD-22-67,28-Jul-22,2022,79.605257,-83.027098,1
MXHERD-22-68,28-Jul-22,2022,79.292717,-84.254442,10
MXHERD-22-69,28-Jul-22,2022,79.116984,-83.676548,4
MXHERD-22-70,28-Jul-22,2022,79.1337,-83.081486,1
MXHERD-22-71,28-Jul-22,2022,79.18129,-83.247481,3
MXHERD-22-72,28-Jul-22,2022,79.224096,-83.278054,2
MXHERD-22-73,28-Jul-22,2022,79.569512,-84.239562,8
MXHERD-22-74,29-Jul-22,2022,80.065511,-88.178485,27
MXHERD-22-75,29-Jul-22,2022,80.14377,-87.964427,6
MXHERD-22-76,29-Jul-22,2022,80.245353,-87.948591,11
MXHERD-22-77,29-Jul-22,2022,80.281845,-88.048403,3
MXHERD-22-78,29-Jul-22,2022,80.297076,-88.094208,2
MXHERD-22-79,29-Jul-22,2022,80.310139,-88.118484,30
MXHERD-22-80,29-Jul-22,2022,80.311188,-88.002118,3
MXHERD-22-81,29-Jul-22,2022,80.335162,-88.015336,2
MXHERD-22-82,29-Jul-22,2022,80.364363,-88.469867,2
MXHERD-22-83,29-Jul-22,2022,80.109701,-88.76892,7
MXHERD-22-84,29-Jul-22,2022,80.118212,-88.790571,2
MXHERD-22-85,29-Jul-22,2022,80.139101,-89.147662,5
MXHERD-22-86,29-Jul-22,2022,80.113285,-90.067291,2
MXHERD-22-87,29-Jul-22,2022,80.103057,-90.124055,25
MXHERD-22-88,29-Jul-22,2022,80.115806,-90.102538,7
MXHERD-22-89,29-Jul-22,2022,80.044472,-88.778727,10
MXHERD-22-90,29-Jul-22,2022,80.030446,-88.564472,3
MXHERD-22-91,29-Jul-22,2022,79.970087,-88.060332,5
MXHERD-22-92,29-Jul-22,2022,79.954123,-87.942639,1
MXHERD-22-93,29-Jul-22,2022,79.943762,-87.556837,9
MXHERD-22-94,29-Jul-22,2022,79.979976,-87.281401,1
MXHERD-22-95,29-Jul-22,2022,80.016192,-86.197938,1
MXHERD-22-96,29-Jul-22,2022,79.996796,-85.845299,9
MXHERD-22-97,29-Jul-22,2022,80.270067,-85.757206,7
MXHERD-22-98,29-Jul-22,2022,80.269577,-85.741746,16
MXHERD-22-99,29-Jul-22,2022,80.304944,-85.734641,3
MXHERD-23-01,09-Aug-23,2023,80.087955,-85.822169,13
MXHERD-23-02,2-15-Aug-23,2023,80.14644,-85.556877,14
MXHERD-23-03,09-Aug-23,2023,80.046739,-85.915847,1
MXHERD-23-04,08-Aug-23,2023,80.256117,-86.119291,5
MXHERD-23-05,11-14-Aug-23,2023,80.168939,-85.018347,39
MXHERD-23-06,11-Aug-23,2023,80.14172,-85.06995,3
MXHERD-23-07,13-Aug-23,2023,80.229623,-85.263251,1
MXHERD-23-08,13-Aug-23,2023,80.272701,-85.413657,12
MXHERD-23-09,10-Aug-23,2023,80.134187,-85.512316,3
MXHERD-23-10,11-Aug-23,2023,80.17758,-84.83493,1
MXHERD-23-100,07-Aug-23,2023,79.536141,-87.079329,3
MXHERD-23-101,07-Aug-23,2023,79.383124,-86.54117,21
MXHERD-23-102,08-Aug-23,2023,80.086602,-85.802403,11
MXHERD-23-103,08-Aug-23,2023,80.919362,-88.894111,7
MXHERD-23-104,08-Aug-23,2023,80.938371,-88.063867,2
MXHERD-23-105,08-Aug-23,2023,80.94621,-87.989566,12
MXHERD-23-106,08-Aug-23,2023,80.600445,-86.257817,1
MXHERD-23-107,08-Aug-23,2023,80.598991,-82.659278,1
MXHERD-23-108,08-Aug-23,2023,80.325084,-85.876934,11
MXHERD-23-109,08-Aug-23,2023,80.225871,-85.645483,5
MXHERD-23-11,31-Jul-23,2023,79.89144,-84.49106,11
MXHERD-23-110,08-Aug-23,2023,80.148766,-85.597821,13
MXHERD-23-111,10-Aug-23,2023,80.008839,-86.289254,1
MXHERD-23-112,10-Aug-23,2023,79.806303,-88.069317,15
MXHERD-23-113,10-Aug-23,2023,79.71633,-88.900451,2
MXHERD-23-114,10-Aug-23,2023,79.809917,-89.416605,13
MXHERD-23-115,10-Aug-23,2023,79.994295,-88.662604,8
MXHERD-23-116,11-Aug-23,2023,80.020819,-86.458207,1
MXHERD-23-117,11-Aug-23,2023,79.898633,-87.383979,1
MXHERD-23-118,11-Aug-23,2023,79.868534,-87.545235,2
MXHERD-23-119,11-Aug-23,2023,79.648805,-88.1925,8
MXHERD-23-12,31-Jul-23,2023,79.880615,-84.402576,13
MXHERD-23-120,11-Aug-23,2023,79.576122,-88.501817,10
MXHERD-23-121,11-Aug-23,2023,79.377794,-88.210713,1
MXHERD-23-122,11-Aug-23,2023,79.372896,-88.192541,11
MXHERD-23-123,11-Aug-23,2023,79.368599,-88.213415,6
MXHERD-23-124,11-Aug-23,2023,79.365699,-88.169502,8
MXHERD-23-125,11-Aug-23,2023,79.290121,-87.802759,1
MXHERD-23-126,11-Aug-23,2023,78.95072,-85.838631,6
MXHERD-23-127,11-Aug-23,2023,78.831412,-85.105042,15
MXHERD-23-128,11-Aug-23,2023,78.962852,-82.830108,1
MXHERD-23-129,11-Aug-23,2023,79.611044,-83.378689,20
MXHERD-23-13,31-Jul-23,2023,79.867595,-84.348974,6
MXHERD-23-130,11-Aug-23,2023,79.630432,-83.487362,1
MXHERD-23-131,11-Aug-23,2023,79.868306,-84.182822,17
MXHERD-23-132,11-Aug-23,2023,79.902915,-84.794687,1
MXHERD-23-133,12-Aug-23,2023,80.561448,-91.94601,3
MXHERD-23-134,12-Aug-23,2023,80.691818,-91.046555,1
MXHERD-23-135,12-Aug-23,2023,80.604586,-90.854545,11
MXHERD-23-136,12-Aug-23,2023,80.537858,-90.345541,12
MXHERD-23-137,12-Aug-23,2023,80.535449,-90.241627,1
MXHERD-23-138,12-Aug-23,2023,80.143617,-86.034147,11
MXHERD-23-14,31-Jul-23,2023,79.870807,-84.365889,16
MXHERD-23-15,31-Jul-23,2023,79.717824,-83.911358,5
MXHERD-23-16,31-Jul-23,2023,79.692675,-83.971851,18
MXHERD-23-17,31-Jul-23,2023,79.664992,-83.920169,15
MXHERD-23-18,31-Jul-23,2023,79.814367,-84.521948,5
MXHERD-23-19,31-Jul-23,2023,79.816291,-84.534395,16
MXHERD-23-20,31-Jul-23,2023,79.798749,-85.618265,2
MXHERD-23-21,31-Jul-23,2023,79.801218,-85.634877,14
MXHERD-23-22,31-Jul-23,2023,79.823791,-86.077273,14
MXHERD-23-23,31-Jul-23,2023,79.742241,-85.956437,2
MXHERD-23-24,31-Jul-23,2023,79.712389,-85.731574,1
MXHERD-23-25,31-Jul-23,2023,79.851486,-85.009425,9
MXHERD-23-26,01-Aug-23,2023,80.105261,-84.133378,4
MXHERD-23-27,01-Aug-23,2023,79.924576,-83.504872,11
MXHERD-23-28,01-Aug-23,2023,79.934532,-83.714969,15
MXHERD-23-29,01-Aug-23,2023,79.925617,-83.791344,9
