LocalID,Report Date,Year of Death,First Sample Year,Species,Location,Latitude,Longitude,Sex,Age,Sampled,Definitive Case,Presumptive Case,Case,AnyTissueCulture,ACTissueCulture,AnyTissueCultureOrPCR,ACTissueCultureOrPCR,AnySoilCulture,ACSoilCulture,AnySoilCultureOrPCR,ACSoilCultureOrPCR,AnyTissueSoilCulture,ACTissueSoilCulture,AnyTissueSoilCultureOrPCR,ACTissueSoilCultureOrPCR
MX-24-91,31-Jul-24,Unknown,NA,Muskox,Ellesmere,80.219572,-85.433595,M,5,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX-24-92,31-Jul-24,Unknown,NA,Muskox,Ellesmere,80.216879,-85.492676,M,5,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX-24-93,31-Jul-24,Unknown,2024,Muskox,Ellesmere,80.160069,-85.547494,F,NA,Y,N,N,N,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,Y
MX-24-94,02-Aug-24,Unknown,NA,Muskox,Ellesmere,80.170074,-85.506407,M,5,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX-24-95,07-Aug-24,Unknown,2024,Muskox,Ellesmere,80.16506,-85.373822,M,5,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y
MX-24-96,07-Aug-24,Unknown,2024,Muskox,Ellesmere,80.165492,-85.372066,M,5,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MX-24-97,07-Aug-24,Unknown,NA,Muskox,Ellesmere,80.075717,-85.760028,U,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX-24-98,07-Aug-24,Unknown,NA,Muskox,Ellesmere,80.075496,-85.759576,U,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX-24-99,07-Aug-24,Unknown,2024,Muskox,Ellesmere,80.075876,-85.765287,M,5,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
OP-23-08,08-Aug-23,Unknown,2023,Muskox,Axel Heiberg,80.936503,-87.077977,U,NA,Y,N,N,N,Y,Y,Y,Y,NA,NA,NA,NA,Y,Y,Y,Y
OP-23-11,11-Aug-23,Unknown,2023,Muskox,Ellesmere,78.508823,-85.912949,U,5,Y,N,N,N,N,N,N,N,NA,NA,NA,NA,N,N,N,N
